Topic,Mark as Done,S.No.,Question,Link,Difficulty,Video SOLUTION,Companies
,FALSE,5,Best Time to Buy and Sell Stock IV,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iv/description/,Hard,,"Google, Amazon, Microsoft"
,,,,,,,
,,,,,,,
MISCELLANEOUS,FALSE,1,House Robber III,https://leetcode.com/problems/house-robber-iii/description/,Medium,,"Google, OYO, Sprinklr"
,FALSE,2,Numbers At Most N Given Digit Set,https://leetcode.com/problems/numbers-at-most-n-given-digit-set/description/,Hard,,"Amazon, Microsoft"
,FALSE,3,Super Egg Drop,https://leetcode.com/problems/super-egg-drop/description/,Hard,,"Amazon, Bloomberg, Google"
,FALSE,4,Partition to K Equal Sum Subsets,https://leetcode.com/problems/partition-to-k-equal-sum-subsets/description/,Medium,,"Microsoft, Amazon, Linked In"
,FALSE,5,Matchsticks to Square,https://leetcode.com/problems/matchsticks-to-square/description/,Medium,,"Phone Pe, Meta, Uber"
,FALSE,6,Word Break,https://leetcode.com/problems/word-break/description/,Medium,,"Uber, netflix, Oracle"
,FALSE,7,Palindromic Partitioning DP,https://leetcode.com/problems/palindrome-partitioning/description/,Medium,,"Bloomberg, Accenture, Visa"
,FALSE,8,Maximum Product Subarray,https://leetcode.com/problems/maximum-product-subarray/description/,Medium,,"Swiggy, Nvidia, Siemens"
